주문번호,종목이름,임시,거래량,거래대금,종가,기준가
002240,고려제강,810,5117,118,22800,22900
014570,고려제약,806,99481,650,6430,6590
098460,고영,1678,30487,2743,90000,90900
038530,골드퍼시픽,384,198368,346,1720,1770
900280,골든센츄리,961,393883,180,456,459
215000,골프존,885,6480,415,63600,62800
121440,골프존뉴딘홀딩스,184,12687,48,3780,3775
009290,광동제약,1316,59776,413,6900,6920
014200,광림,154,61896,155,2505,2495
017040,광명전기,603,118971,275,2310,2360
017900,광전자,534,90306,204,2280,2250
037710,광주신세계,576,6003,1009,169000,172500
026910,광진실업,2825,741307,3247,4545,4275
090150,광진윈텍,139,13834,39,2805,2845
307280,교보8호스팩,0,0,0,0,2165
030610,교보증권,496,11437,107,9340,9340
053270,구영테크,832,197305,325,1660,1635
007690,국도화학,122,3462,163,46900,46950
005320,국동,816,338167,530,1560,1565
066620,국보디자인,93,17566,277,16100,15700
043650,국순당,134,28204,89,3170,3165
006050,국영지앤엠,168,99917,130,1285,1295
060480,국일신동,472,82357,541,6580,6540
078130,국일제지,202230,132507549,780355,6310,4860
002720,국제약품,1128,275968,1226,4400,4525
204020,그리티,847,112933,325,2855,2900
083420,그린케미칼,56,1649,6,3380,3385
186230,그린플러스,245,16881,178,10700,10550
014530,극동유화,429,50488,172,3390,3405
900070,글로벌에스엠,81,12425,9,703,702
204620,글로벌텍스프리,177,17409,60,3475,3485
019660,글로본,410,80065,267,3320,3410
014280,금강공업,384,41524,167,4025,4065
014285,금강공업우,10,1134,10,9200,9170
053260,금강철강,150,10873,37,3450,3440
008870,금비,13,72,5,63300,63800
001570,금양,223,20273,43,2125,2110
002990,금호산업,769,64630,781,12200,12100
002995,금호산업우,225,4715,235,49950,50000
011780,금호석유,4006,92769,6649,71800,71500
011785,금호석유우,259,6122,182,29750,29450
214330,금호에이치티,3569,431624,2098,4940,4775
073240,금호타이어,1148,215517,911,4215,4205
036190,금화피에스시,52,849,25,29850,29950
049080,기가레인,7733,1531776,2681,1735,1735
035460,기산텔레콤,313,32891,87,2625,2645
092440,기신정기,119,5556,20,3570,3555
000270,기아차,11332,963827,39570,40650,41400
024110,기업은행,9517,824394,10482,12750,12650
013700,까뮤이앤씨,172,191701,232,1225,1225
308100,까스텔바쟉,322,41033,437,10600,10700
004540,깨끗한나라,359,120699,281,2310,2345
004545,깨끗한나라우,96,1939,35,17800,18000
187790,나노,464,162868,356,2170,2170
074610,나노메딕스,21062,3104880,28365,9200,9100
286750,나노브릭,4926,246511,2805,11200,11400
151910,나노스,229,42493,194,4605,4600
121600,나노신소재,384,23803,357,14800,15050
039860,나노엔텍,1004,173204,783,4505,4650
091970,나노캠텍,2764,1172732,2763,2320,2410
051490,나라엠앤디,181,6088,23,3835,3845
190510,나무가,537,18312,647,35300,35900
242040,나무기술,903,258412,823,3180,3190
089600,나스미디어,1082,33000,968,29500,29550
293580,나우아이비캐피탈,126,12796,55,4250,4300
